"大类","来源表","序号","原始字段","归一化字段","建议归属实体","数据属性","主要生产方式","时间变化性","审计要求","敏感级","AI适用性","数据校验","建议存储方式","使用层级","用途体系"
"数据库类","月度竞对跟踪表","6","权利要求翻译","权利要求翻译","PatentDocument / PatentFamily / Party","业务事实/描述","AI初加工 + 人工复核","按业务事件更新","普通变更历史","低/按记录继承","适合AI生成，必须保留模型/提示词/输入哈希/人工确认","类型校验 + 必填/唯一性按业务配置","对应领域实体的结构化字段","小组","数据库/流程性"
"数据库类","月度竞对跟踪表","7","摘要翻译","摘要翻译","PatentDocument / PatentFamily / Party","业务事实/描述","AI初加工 + 人工复核","按业务事件更新","普通变更历史","低/按记录继承","适合AI生成，必须保留模型/提示词/输入哈希/人工确认","类型校验 + 必填/唯一性按业务配置","对应领域实体的结构化字段","小组","数据库/流程性"
"数据库类","月度竞对跟踪表","8","同族专利号","专利族关联","Relation / Link Entity","业务事实/描述","人工维护/系统派生","按业务事件更新","普通变更历史","低/按记录继承","可选AI辅助","类型校验 + 必填/唯一性按业务配置","关系表（多对多/带属性），禁止逗号拼接","小组","数据库/流程性"
"数据库类","月度竞对跟踪表","9","标准申请人","标准申请人","PatentDocument / PatentFamily / Party","业务事实/描述","外部数据库自动采集 + 人工校验","按业务事件更新","普通变更历史","低/按记录继承","可选AI辅助","类型校验 + 必填/唯一性按业务配置","对应领域实体的结构化字段","小组","数据库/流程性"
"数据库类","月度竞对跟踪表","10","优先权日","优先权日","PatentDocument / PatentFamily / Party","外部/业务事实","外部数据库自动采集 + 人工校验","基本稳定/确认后近似不可变","来源审计：数据源/抓取时间/原文证据","低/按记录继承","不宜AI生成；应结构化采集/规则计算","类型校验 + 必填/唯一性按业务配置","对应领域实体的结构化字段","小组","数据库/流程性"
"数据库类","月度竞对跟踪表","11","申请日","申请日","PatentDocument / PatentFamily / Party","外部/业务事实","外部数据库自动采集 + 人工校验","基本稳定/确认后近似不可变","来源审计：数据源/抓取时间/原文证据","低/按记录继承","不宜AI生成；应结构化采集/规则计算","类型校验 + 必填/唯一性按业务配置","对应领域实体的结构化字段","小组","数据库/流程性"
"数据库类","月度竞对跟踪表","12","首次公开日","公开日","PatentDocument / PatentFamily / Party","外部/业务事实","外部数据库自动采集 + 人工校验","按业务事件更新","普通变更历史","低/按记录继承","可选AI辅助","类型校验 + 必填/唯一性按业务配置","对应领域实体的结构化字段","小组","数据库/流程性"
"数据库类","月度竞对跟踪表","13","预计失效日","预计失效日","PatentDocument / PatentFamily / Party","外部/业务事实","外部数据库自动采集 + 人工校验","高变化/事件驱动","普通变更历史","低/按记录继承","可选AI辅助","类型校验 + 必填/唯一性按业务配置","对应领域实体的结构化字段","小组","数据库/流程性"
"数据库类","月度竞对跟踪表","14","其他备注","备注","Generic / Context-specific","业务事实/描述","人工维护/系统派生","按业务事件更新","普通变更历史","低/按记录继承","可选AI辅助","类型校验 + 必填/唯一性按业务配置","视图本地字段或CustomField；达到高频阈值后实体化","小组","数据库/流程性"
"数据库类","月度竞对跟踪表","15","外部链接","外部专利链接","PatentDocument / PatentFamily / Party","引用/附件","人工维护/系统派生","按业务事件更新","普通变更历史","低/按记录继承","可选AI辅助","类型校验 + 必填/唯一性按业务配置","Attachment/Artifact实体 + 关联表","小组","数据库/流程性"
"数据库类","日常相关专利积累","1","公开号","公开号","PatentDocument / PatentFamily / Party","标识/主数据","外部数据库自动采集 + 人工校验","基本稳定/确认后近似不可变","来源审计：数据源/抓取时间/原文证据","低/按记录继承","不宜AI生成；应结构化采集/规则计算","类型校验 + 必填/唯一性按业务配置","对应领域实体的结构化字段","个人/小组","过程性"
"数据库类","日常相关专利积累","2","专利权人","专利权人","PatentDocument / PatentFamily / Party","业务事实/描述","外部数据库自动采集 + 人工校验","低频变化/版本化","普通变更历史","低/按记录继承","可选AI辅助","类型校验 + 必填/唯一性按业务配置","对应领域实体的结构化字段","个人/小组","过程性"
"数据库类","日常相关专利积累","3","保护主题概要","保护点概要","TechnologyTaxonomy / TechnicalKnowledge","专业判断/分析结论","AI初加工 + 人工复核","按业务事件更新","普通变更历史","低/按记录继承","适合AI生成，必须保留模型/提示词/输入哈希/人工确认","类型校验 + 必填/唯一性按业务配置","对应领域实体的结构化字段","个人/小组","过程性"
"数据库类","日常相关专利积累","4","技术模块","技术模块","TechnologyTaxonomy / TechnicalKnowledge","业务事实/描述","人工维护/系统派生","按业务事件更新","普通变更历史","低/按记录继承","可选AI辅助","技术分类树引用，可多选","对应领域实体的结构化字段","个人/小组","过程性"
"数据库类","日常相关专利积累","5","产品类型","产品品类","Product / ProductCategory","业务事实/描述","人工维护/系统派生","按业务事件更新","普通变更历史","低/按记录继承","可选AI辅助","产品分类树引用","对应领域实体的结构化字段","个人/小组","过程性"
"数据库类","日常相关专利积累","6","其他备注","备注","Generic / Context-specific","业务事实/描述","人工维护/系统派生","按业务事件更新","普通变更历史","低/按记录继承","可选AI辅助","类型校验 + 必填/唯一性按业务配置","视图本地字段或CustomField；达到高频阈值后实体化","个人/小组","过程性"
"中间过程表","数据库专利相关性复核表","1","基础数据库记录","基础数据库记录","RelevanceReview","业务事实/描述","人工维护/系统派生","按业务事件更新","普通变更历史","低/按记录继承","可选AI辅助","类型校验 + 必填/唯一性按业务配置","对应领域实体的结构化字段","检索组","过程性"
"中间过程表","数据库专利相关性复核表","2","相关性标签","相关性","RelevanceReview","专业判断/分析结论","专业人员人工判断（AI仅辅助）","按业务事件更新","普通变更历史","低/按记录继承","AI可辅助，不得作为最终责任结论","枚举/评分：无关/低/中/高 或 0-100","对应领域实体的结构化字段","检索组","过程性"
"中间过程表","数据库专利相关性复核表","3","复核备注","复核备注","RelevanceReview","业务事实/描述","人工维护/系统派生","按业务事件更新","普通变更历史","低/按记录继承","可选AI辅助","类型校验 + 必填/唯一性按业务配置","对应领域实体的结构化字段","检索组","过程性"
"中间过程表","数据库专利相关性复核表","4","本次复核的产品号","产品编号","Product / ProductCategory","标识/主数据","人工维护/系统派生","基本稳定/确认后近似不可变","普通变更历史","中","可选AI辅助","类型校验 + 必填/唯一性按业务配置","对应领域实体的结构化字段","检索组","过程性"
"中间过程表","数据库专利相关性复核表","5","本次待检方案特征","待检方案特征","ClaimAnalysis / Evidence / TechnicalFeature","业务事实/描述","人工维护/系统派生","按业务事件更新","普通变更历史","高","可选AI辅助","类型校验 + 必填/唯一性按业务配置","对应领域实体的结构化字段","检索组","过程性"
"中间过程表","数据库专利相关性复核表","6","出货地","出货地区","Generic / Context-specific","业务事实/描述","人工维护/系统派生","按业务事件更新","普通变更历史","低/按记录继承","可选AI辅助","类型校验 + 必填/唯一性按业务配置","视图本地字段或CustomField；达到高频阈值后实体化","检索组","过程性"
"中间过程表","检索结果表","1","检索流程TC号","检索流程编号","SearchCase / SearchStrategy / SearchRun","标识/主数据","检索师 + 检索平台","按业务事件更新","普通变更历史","低/按记录继承","可选AI辅助","类型校验 + 必填/唯一性按业务配置","对应领域实体的结构化字段","检索组","过程性"
"中间过程表","检索结果表","2","公开号","公开号","PatentDocument / PatentFamily / Party","标识/主数据","外部数据库自动采集 + 人工校验","基本稳定/确认后近似不可变","来源审计：数据源/抓取时间/原文证据","低/按记录继承","不宜AI生成；应结构化采集/规则计算","类型校验 + 必填/唯一性按业务配置","对应领域实体的结构化字段","检索组","过程性"
"中间过程表","检索结果表","3","同族公开号","专利族关联","Relation / Link Entity","业务事实/描述","人工维护/系统派生","按业务事件更新","普通变更历史","低/按记录继承","可选AI辅助","类型校验 + 必填/唯一性按业务配置","关系表（多对多/带属性），禁止逗号拼接","检索组","过程性"
"中间过程表","检索结果表","4","法律状态","法律状态","PatentDocument / PatentFamily / Party","当前状态快照（应有事件历史）","外部数据库自动采集 + 人工校验","高变化/事件驱动","强审计：旧值/新值/人/时间/原因/审批","低/按记录继承","不宜AI生成；应结构化采集/规则计算","法域标准化状态映射 + 原始状态并存","当前快照字段 + 状态事件表（双层）","检索组","过程性"
"中间过程表","检索结果表","5","保护/揭示主题","保护/揭示主题","TechnologyTaxonomy / TechnicalKnowledge","业务事实/描述","人工维护/系统派生","按业务事件更新","普通变更历史","低/按记录继承","可选AI辅助","类型校验 + 必填/唯一性按业务配置","对应领域实体的结构化字段","检索组","过程性"
"中间过程表","检索结果表","6","用途（专利性评价/侵权风险排查）","检索用途","SearchCase / SearchStrategy / SearchRun","业务事实/描述","检索师 + 检索平台","按业务事件更新","普通变更历史","低/按记录继承","可选AI辅助","枚举：专利性/侵权风险/FTO/技术调查/其他","对应领域实体的结构化字段","检索组","过程性"
"中间过程表","检索结果表","7","专利权人","专利权人","PatentDocument / PatentFamily / Party","业务事实/描述","外部数据库自动采集 + 人工校验","低频变化/版本化","普通变更历史","低/按记录继承","可选AI辅助","类型校验 + 必填/唯一性按业务配置","对应领域实体的结构化字段","检索组","过程性"
"中间过程表","检索结果表","8","检索策略来源","检索策略来源","SearchCase / SearchStrategy / SearchRun","业务事实/描述","检索师 + 检索平台","按业务事件更新","普通变更历史","低/按记录继承","可选AI辅助","类型校验 + 必填/唯一性按业务配置","对应领域实体的结构化字段","检索组","过程性"
"中间过程表","检索结果表","9","与该专利相关的待检方案","待检方案特征","ClaimAnalysis / Evidence / TechnicalFeature","业务事实/描述","人工维护/系统派生","按业务事件更新","普通变更历史","高","可选AI辅助","类型校验 + 必填/唯一性按业务配置","对应领域实体的结构化字段","检索组","过程性"
"中间过程表","检索结果表","10","是否有历史风险","历史风险标志","RiskCase / RiskAssessment / Mitigation","业务事实/描述","人工维护/系统派生","按业务事件更新","普通变更历史","低/按记录继承","可选AI辅助","类型校验 + 必填/唯一性按业务配置","对应领域实体的结构化字段","检索组","过程性"
"中间过程表","检索结果表","11","该专利的分案续案风险","分案续案风险","RiskCase / RiskAssessment / Mitigation","专业判断/分析结论","专业人员人工判断（AI仅辅助）","高变化/事件驱动","普通变更历史","低/按记录继承","AI可辅助，不得作为最终责任结论","类型校验 + 必填/唯一性按业务配置","对应领域实体的结构化字段","检索组","过程性"
"中间过程表","检索策略记录","1","检索要素","检索要素","SearchCase / SearchStrategy / SearchRun","业务事实/描述","检索师 + 检索平台","按业务事件更新","普通变更历史","低/按记录继承","可选AI辅助","类型校验 + 必填/唯一性按业务配置","对应领域实体的结构化字段","检索组","过程性"
"中间过程表","检索策略记录","2","检索式","检索式","SearchCase / SearchStrategy / SearchRun","业务事实/描述","检索师 + 检索平台","按业务事件更新","普通变更历史","低/按记录继承","可选AI辅助","类型校验 + 必填/唯一性按业务配置","对应领域实体的结构化字段","检索组","过程性"
"中间过程表","检索策略记录","3","检索时间","检索时间","SearchCase / SearchStrategy / SearchRun","业务事实/描述","检索师 + 检索平台","按业务事件更新","普通变更历史","低/按记录继承","可选AI辅助","类型校验 + 必填/唯一性按业务配置","对应领域实体的结构化字段","检索组","过程性"
"中间过程表","检索策略记录","4","检索式找到的相关的专利号","检索命中文献","SearchCase / SearchStrategy / SearchRun","业务事实/描述","检索师 + 检索平台","按业务事件更新","普通变更历史","低/按记录继承","可选AI辅助","类型校验 + 必填/唯一性按业务配置","对应领域实体的结构化字段","检索组","过程性"
"中间过程表","检索策略记录","5","检索结果数量","检索结果数量","SearchCase / SearchStrategy / SearchRun","度量","检索师 + 检索平台","按业务事件更新","普通变更历史","低/按记录继承","可选AI辅助","类型校验 + 必填/唯一性按业务配置","对应领域实体的结构化字段","检索组","过程性"
"中间过程表","检索策略记录","6","单一检索式思路","单式检索思路","SearchCase / SearchStrategy / SearchRun","业务事实/描述","检索师 + 检索平台","按业务事件更新","普通变更历史","低/按记录继承","可选AI辅助","类型校验 + 必填/唯一性按业务配置","对应领域实体的结构化字段","检索组","过程性"
"中间过程表","检索策略记录","7","完整检索策略思路","完整检索策略","SearchCase / SearchStrategy / SearchRun","业务事实/描述","检索师 + 检索平台","按业务事件更新","普通变更历史","低/按记录继承","可选AI辅助","类型校验 + 必填/唯一性按业务配置","对应领域实体的结构化字段","检索组","过程性"
"中间过程表","检索策略记录","8","选用的数据库平台/查询的数据眼","检索数据库/数据源","SearchCase / SearchStrategy / SearchRun","业务事实/描述","检索师 + 检索平台","按业务事件更新","普通变更历史","低/按记录继承","可选AI辅助","类型校验 + 必填/唯一性按业务配置","对应领域实体的结构化字段","检索组","过程性"
"中间过程表","检索策略记录","9","其他筛选策略","其他筛选策略","SearchCase / SearchStrategy / SearchRun","业务事实/描述","检索师 + 检索平台","按业务事件更新","普通变更历史","低/按记录继承","可选AI辅助","类型校验 + 必填/唯一性按业务配置","对应领域实体的结构化字段","检索组","过程性"
"中间过程表","检索沟通记录","1","项目号","项目编号","Project / ProjectSolutionVersion","标识/主数据","项目/研发/产品团队反馈","基本稳定/确认后近似不可变","普通变更历史","中","可选AI辅助","类型校验 + 必填/唯一性按业务配置","对应领域实体的结构化字段","检索组/研发","过程性"
"中间过程表","检索沟通记录","2","产品号","产品编号","Product / ProductCategory","标识/主数据","人工维护/系统派生","基本稳定/确认后近似不可变","普通变更历史","中","可选AI辅助","类型校验 + 必填/唯一性按业务配置","对应领域实体的结构化字段","检索组/研发","过程性"
"中间过程表","检索沟通记录","3","产品名称","产品名称","Product / ProductCategory","业务事实/描述","人工维护/系统派生","按业务事件更新","普通变更历史","低/按记录继承","可选AI辅助","类型校验 + 必填/唯一性按业务配置","对应领域实体的结构化字段","检索组/研发","过程性"
"中间过程表","检索沟通记录","4","产品类型","产品品类","Product / ProductCategory","业务事实/描述","人工维护/系统派生","按业务事件更新","普通变更历史","低/按记录继承","可选AI辅助","产品分类树引用","对应领域实体的结构化字段","检索组/研发","过程性"
"中间过程表","检索沟通记录","5","项目负责人","项目负责人","Project / ProjectSolutionVersion","业务事实/描述","项目/研发/产品团队反馈","按业务事件更新","普通变更历史","低/按记录继承","可选AI辅助","类型校验 + 必填/唯一性按业务配置","对应领域实体的结构化字段","检索组/研发","过程性"
"中间过程表","检索沟通记录","6","出货地区","出货地区","Generic / Context-specific","业务事实/描述","人工维护/系统派生","按业务事件更新","普通变更历史","低/按记录继承","可选AI辅助","类型校验 + 必填/唯一性按业务配置","视图本地字段或CustomField；达到高频阈值后实体化","检索组/研发","过程性"
"中间过程表","检索沟通记录","7","项目当前阶段","项目阶段","Project / ProjectSolutionVersion","当前状态快照（应有事件历史）","项目/研发/产品团队反馈","高变化/事件驱动","普通变更历史","中","可选AI辅助","项目阶段状态机","当前快照字段 + 状态事件表（双层）","检索组/研发","过程性"
"中间过程表","检索沟通记录","8","产品图示","产品图示","Product / ProductCategory","引用/附件","人工维护/系统派生","按业务事件更新","普通变更历史","低/按记录继承","可选AI辅助","类型校验 + 必填/唯一性按业务配置","Attachment/Artifact实体 + 关联表","检索组/研发","过程性"
"中间过程表","检索沟通记录","9","本次沟通时间","沟通时间","Meeting / Decision / Communication","业务事实/描述","人工维护/系统派生","按业务事件更新","普通变更历史","低/按记录继承","可选AI辅助","类型校验 + 必填/唯一性按业务配置","对应领域实体的结构化字段","检索组/研发","过程性"
"中间过程表","检索沟通记录","10","沟通人","沟通人","Meeting / Decision / Communication","业务事实/描述","人工维护/系统派生","按业务事件更新","普通变更历史","低/按记录继承","可选AI辅助","类型校验 + 必填/唯一性按业务配置","对应领域实体的结构化字段","检索组/研发","过程性"
"中间过程表","检索沟通记录","11","所涉及的方案","所涉及的方案","TechnologyTaxonomy / TechnicalKnowledge","业务事实/描述","人工维护/系统派生","按业务事件更新","普通变更历史","低/按记录继承","可选AI辅助","类型校验 + 必填/唯一性按业务配置","对应领域实体的结构化字段","检索组/研发","过程性"
"中间过程表","检索沟通记录","12","方案相关的背景","方案相关的背景","TechnologyTaxonomy / TechnicalKnowledge","业务事实/描述","人工维护/系统派生","按业务事件更新","普通变更历史","低/按记录继承","可选AI辅助","类型校验 + 必填/唯一性按业务配置","对应领域实体的结构化字段","检索组/研发","过程性"
"中间过程表","检索沟通记录","13","排查思路","排查思路","TechnologyTaxonomy / TechnicalKnowledge","业务事实/描述","人工维护/系统派生","按业务事件更新","普通变更历史","低/按记录继承","可选AI辅助","类型校验 + 必填/唯一性按业务配置","对应领域实体的结构化字段","检索组/研发","过程性"
"中间过程表","分析结论表","1","本次待检方案特征","待检方案特征","ClaimAnalysis / Evidence / TechnicalFeature","业务事实/描述","人工维护/系统派生","按业务事件更新","普通变更历史","高","可选AI辅助","类型校验 + 必填/唯一性按业务配置","对应领域实体的结构化字段","分析组","风险"
"中间过程表","分析结论表","2","出货地","出货地区","Generic / Context-specific","业务事实/描述","人工维护/系统派生","按业务事件更新","普通变更历史","低/按记录继承","可选AI辅助","类型校验 + 必填/唯一性按业务配置","视图本地字段或CustomField；达到高频阈值后实体化","分析组","风险"
"中间过程表","分析结论表","3","专利族专利号","专利族关联","Relation / Link Entity","业务事实/描述","人工维护/系统派生","按业务事件更新","普通变更历史","低/按记录继承","可选AI辅助","类型校验 + 必填/唯一性按业务配置","关系表（多对多/带属性），禁止逗号拼接","分析组","风险"
"中间过程表","分析结论表","4","独立权利要求内容","独立权利要求","PatentDocument / PatentFamily / Party","业务事实/描述","外部数据库自动采集 + 人工校验","低频变化/版本化","来源审计：数据源/抓取时间/原文证据","低/按记录继承","可选AI辅助","类型校验 + 必填/唯一性按业务配置","对应领域实体的结构化字段","分析组","风险"
"中间过程表","分析结论表","5","从属权利要求内容","从属权利要求","ClaimAnalysis / Evidence / TechnicalFeature","业务事实/描述","人工维护/系统派生","按业务事件更新","普通变更历史","低/按记录继承","可选AI辅助","类型校验 + 必填/唯一性按业务配置","对应领域实体的结构化字段","分析组","风险"
"中间过程表","分析结论表","6","权利要求逐条分析","权利要求逐条分析","ClaimAnalysis / Evidence / TechnicalFeature","专业判断/分析结论","专业人员人工判断（AI仅辅助）","按业务事件更新","强审计：旧值/新值/人/时间/原因/审批","高","AI可辅助，不得作为最终责任结论","类型校验 + 必填/唯一性按业务配置","对应领域实体的结构化字段","分析组","风险"
"中间过程表","分析结论表","7","风险结论","风险结论","RiskCase / RiskAssessment / Mitigation","专业判断/分析结论","专业人员人工判断（AI仅辅助）","高变化/事件驱动","强审计：旧值/新值/人/时间/原因/审批","高","AI可辅助，不得作为最终责任结论","类型校验 + 必填/唯一性按业务配置","对应领域实体的结构化字段","分析组","风险"
"中间过程表","风险专利/前案检索特征比对表","1","风险专利号","风险专利关联","Relation / Link Entity","业务事实/描述","人工维护/系统派生","按业务事件更新","普通变更历史","低/按记录继承","可选AI辅助","类型校验 + 必填/唯一性按业务配置","关系表（多对多/带属性），禁止逗号拼接","分析组/检索组","风险/过程性"
"中间过程表","风险专利/前案检索特征比对表","2","专利权人","专利权人","PatentDocument / PatentFamily / Party","业务事实/描述","外部数据库自动采集 + 人工校验","低频变化/版本化","普通变更历史","低/按记录继承","可选AI辅助","类型校验 + 必填/唯一性按业务配置","对应领域实体的结构化字段","分析组/检索组","风险/过程性"
"中间过程表","风险专利/前案检索特征比对表","3","优先权时间","优先权日","PatentDocument / PatentFamily / Party","外部/业务事实","外部数据库自动采集 + 人工校验","基本稳定/确认后近似不可变","来源审计：数据源/抓取时间/原文证据","低/按记录继承","不宜AI生成；应结构化采集/规则计算","类型校验 + 必填/唯一性按业务配置","对应领域实体的结构化字段","分析组/检索组","风险/过程性"
"中间过程表","风险专利/前案检索特征比对表","4","风险专利权利要求内容","风险专利权利要求","ClaimAnalysis / Evidence / TechnicalFeature","业务事实/描述","人工维护/系统派生","按业务事件更新","普通变更历史","低/按记录继承","可选AI辅助","类型校验 + 必填/唯一性按业务配置","对应领域实体的结构化字段","分析组/检索组","风险/过程性"
"中间过程表","风险专利/前案检索特征比对表","5","专利附图","专利附图","PatentDocument / PatentFamily / Party","引用/附件","人工维护/系统派生","按业务事件更新","普通变更历史","低/按记录继承","可选AI辅助","类型校验 + 必填/唯一性按业务配置","Attachment/Artifact实体 + 关联表","分析组/检索组","风险/过程性"
"中间过程表","风险专利/前案检索特征比对表","6","风险专利单条权利要求拆解要素1-N及其翻译","权利要求要素拆解","ClaimAnalysis / Evidence / TechnicalFeature","业务事实/描述","人工维护/系统派生","按业务事件更新","普通变更历史","低/按记录继承","适合AI生成，必须保留模型/提示词/输入哈希/人工确认","类型校验 + 必填/唯一性按业务配置","对应领域实体的结构化字段","分析组/检索组","风险/过程性"
"中间过程表","风险专利/前案检索特征比对表","7","待检方案特征对照","待检方案特征对照","ClaimAnalysis / Evidence / TechnicalFeature","业务事实/描述","人工维护/系统派生","按业务事件更新","普通变更历史","低/按记录继承","可选AI辅助","类型校验 + 必填/唯一性按业务配置","对应领域实体的结构化字段","分析组/检索组","风险/过程性"
"中间过程表","风险专利/前案检索特征比对表","8","待检方案图","待检方案图","ClaimAnalysis / Evidence / TechnicalFeature","引用/附件","人工维护/系统派生","按业务事件更新","普通变更历史","低/按记录继承","可选AI辅助","类型校验 + 必填/唯一性按业务配置","Attachment/Artifact实体 + 关联表","分析组/检索组","风险/过程性"
"中间过程表","风险专利/前案检索特征比对表","9","对比文件专利号","对比文件专利关联","Relation / Link Entity","业务事实/描述","人工维护/系统派生","按业务事件更新","普通变更历史","低/按记录继承","可选AI辅助","类型校验 + 必填/唯一性按业务配置","关系表（多对多/带属性），禁止逗号拼接","分析组/检索组","风险/过程性"
"中间过程表","风险专利/前案检索特征比对表","10","对比文件专利权人","专利权人","PatentDocument / PatentFamily / Party","业务事实/描述","外部数据库自动采集 + 人工校验","低频变化/版本化","普通变更历史","低/按记录继承","可选AI辅助","类型校验 + 必填/唯一性按业务配置","对应领域实体的结构化字段","分析组/检索组","风险/过程性"
"中间过程表","风险专利/前案检索特征比对表","11","公开日","公开日","PatentDocument / PatentFamily / Party","外部/业务事实","外部数据库自动采集 + 人工校验","按业务事件更新","普通变更历史","低/按记录继承","可选AI辅助","类型校验 + 必填/唯一性按业务配置","对应领域实体的结构化字段","分析组/检索组","风险/过程性"
"中间过程表","风险专利/前案检索特征比对表","12","对比文件揭示特征对照","对比文件特征对照","ClaimAnalysis / Evidence / TechnicalFeature","业务事实/描述","人工维护/系统派生","按业务事件更新","普通变更历史","低/按记录继承","可选AI辅助","类型校验 + 必填/唯一性按业务配置","对应领域实体的结构化字段","分析组/检索组","风险/过程性"
"中间过程表","风险专利/前案检索特征比对表","13","对比文件专利附图","专利附图","PatentDocument / PatentFamily / Party","引用/附件","人工维护/系统派生","按业务事件更新","普通变更历史","低/按记录继承","可选AI辅助","类型校验 + 必填/唯一性按业务配置","Attachment/Artifact实体 + 关联表","分析组/检索组","风险/过程性"
"中间过程表","专利性文件清单","1","对比文件专利号","对比文件专利关联","Relation / Link Entity","业务事实/描述","人工维护/系统派生","按业务事件更新","普通变更历史","低/按记录继承","可选AI辅助","类型校验 + 必填/唯一性按业务配置","关系表（多对多/带属性），禁止逗号拼接","检索组/保护组","布局/过程性"
"中间过程表","专利性文件清单","2","申请地区","申请/布局国家","ProtectionCase / FilingCase","业务事实/描述","人工维护/系统派生","按业务事件更新","强审计：旧值/新值/人/时间/原因/审批","低/按记录继承","可选AI辅助","ISO国家/地区代码，多选用关联表","对应领域实体的结构化字段","检索组/保护组","布局/过程性"
"中间过程表","专利性文件清单","3","专利权人","专利权人","PatentDocument / PatentFamily / Party","业务事实/描述","外部数据库自动采集 + 人工校验","低频变化/版本化","普通变更历史","低/按记录继承","可选AI辅助","类型校验 + 必填/唯一性按业务配置","对应领域实体的结构化字段","检索组/保护组","布局/过程性"
"中间过程表","专利性文件清单","4","优先权时间","优先权日","PatentDocument / PatentFamily / Party","外部/业务事实","外部数据库自动采集 + 人工校验","基本稳定/确认后近似不可变","来源审计：数据源/抓取时间/原文证据","低/按记录继承","不宜AI生成；应结构化采集/规则计算","类型校验 + 必填/唯一性按业务配置","对应领域实体的结构化字段","检索组/保护组","布局/过程性"
"中间过程表","专利性文件清单","5","公开日","公开日","PatentDocument / PatentFamily / Party","外部/业务事实","外部数据库自动采集 + 人工校验","按业务事件更新","普通变更历史","低/按记录继承","可选AI辅助","类型校验 + 必填/唯一性按业务配置","对应领域实体的结构化字段","检索组/保护组","布局/过程性"
"中间过程表","专利性文件清单","6","揭示特征总结","揭示特征总结","ClaimAnalysis / Evidence / TechnicalFeature","业务事实/描述","人工维护/系统派生","按业务事件更新","普通变更历史","低/按记录继承","适合AI生成，必须保留模型/提示词/输入哈希/人工确认","类型校验 + 必填/唯一性按业务配置","对应领域实体的结构化字段","检索组/保护组","布局/过程性"
"中间过程表","专利性文件清单","7","揭示特征对应原文出处","证据原文出处","ClaimAnalysis / Evidence / TechnicalFeature","业务事实/描述","人工维护/系统派生","按业务事件更新","普通变更历史","低/按记录继承","可选AI辅助","类型校验 + 必填/唯一性按业务配置","对应领域实体的结构化字段","检索组/保护组","布局/过程性"
"中间过程表","专利性文件清单","8","揭示处对应专利附图","证据附图","ClaimAnalysis / Evidence / TechnicalFeature","引用/附件","人工维护/系统派生","按业务事件更新","普通变更历史","低/按记录继承","可选AI辅助","类型校验 + 必填/唯一性按业务配置","Attachment/Artifact实体 + 关联表","检索组/保护组","布局/过程性"
